model,dataset,groundtruth_according_accuracy,according_accuracy
596,1,0.949,0.0
708,1,0.947,0.0
795,1,0.946,0.0
597,1,0.925,0.0
950,1,0.914,0.0
841,1,0.905,0.0
641,1,0.901,0.0
868,1,0.883,0.0
772,1,0.851,0.0
527,1,0.508,0.0
318,1,0.501,0.0
319,3,0.946,0.0
177,3,0.922,0.0
178,3,0.91,0.0
675,3,0.886,0.0
791,3,0.87,0.0
277,3,0.807,0.0
456,3,0.778,0.0
978,3,0.502,0.0
368,3,0.498,0.0
857,3,0.497,0.0
533,23,0.871,0.0
872,23,0.834,0.0
469,23,0.831,0.0
850,23,0.782,0.0
985,23,0.779,0.0
995,23,0.777,0.0
921,23,0.754,0.0
997,23,0.724,0.0
197,23,0.67,0.0
600,23,0.071,0.0
319,63,0.954,0.0
784,63,0.974,0.987
780,63,0.96,0.973
783,63,0.959,0.96
782,63,0.957,0.967
323,63,0.952,0.781
511,63,0.533,0.43
517,63,0.509,0.634
717,63,0.484,0.592
885,63,0.474,0.56
