model,dataset,groundtruth_according_accuracy,according_accuracy
596,1,0.949,-7.401486830834377e-18
708,1,0.947,-7.401486830834377e-18
795,1,0.946,-7.401486830834377e-18
597,1,0.925,-7.401486830834377e-18
950,1,0.914,0.06215333333333333
841,1,0.905,-7.401486830834377e-18
641,1,0.901,-7.401486830834377e-18
868,1,0.883,0.04566666666666666
772,1,0.851,0.054666666666666655
527,1,0.508,0.06163999999999999
318,1,0.501,-7.401486830834377e-18
319,3,0.946,-7.401486830834377e-18
177,3,0.922,-7.401486830834377e-18
178,3,0.91,-7.401486830834377e-18
675,3,0.886,0.03613333333333333
791,3,0.87,0.039133333333333326
277,3,0.807,-7.401486830834377e-18
456,3,0.778,0.05588666666666667
978,3,0.502,0.013666666666666657
368,3,0.498,0.03662
857,3,0.497,0.057353333333333326
533,23,0.871,0.0006203123071609528
872,23,0.834,0.03865548085950443
469,23,0.831,0.0006203123071609528
850,23,0.782,0.0006203123071609528
985,23,0.779,0.0006203123071609528
995,23,0.777,0.0006203123071609528
921,23,0.754,0.0006203123071609528
997,23,0.724,0.0006203123071609528
197,23,0.67,0.0006203123071609528
600,23,0.071,0.0006203123071609528
319,63,0.954,-0.0006203123071609677
784,63,0.974,0.06517968769283904
780,63,0.96,0.0642463543595057
783,63,0.959,0.06337968769283903
782,63,0.957,0.0638463543595057
323,63,0.952,0.0514463543595057
511,63,0.533,0.028046354359505702
517,63,0.509,0.0416463543595057
717,63,0.484,0.038846354359505696
885,63,0.474,0.03671302102617237
