model,dataset,groundtruth_according_accuracy,according_accuracy
596,1,0.949,0.008131044165816148
708,1,0.947,0.008131044165816148
795,1,0.946,0.008131044165816148
597,1,0.925,0.008131044165816148
950,1,0.914,0.04492234328815137
841,1,0.905,0.008131044165816148
641,1,0.901,0.008131044165816148
868,1,0.883,0.008131044165816148
772,1,0.851,0.09013104416581615
527,1,0.508,0.044618478648827134
318,1,0.501,0.008131044165816148
319,3,0.946,-1.1102230246251566e-17
177,3,0.922,-1.1102230246251566e-17
178,3,0.91,-1.1102230246251566e-17
675,3,0.886,0.05419999999999999
791,3,0.87,-1.1102230246251566e-17
277,3,0.807,-1.1102230246251566e-17
456,3,0.778,0.08383
978,3,0.502,-1.1102230246251566e-17
368,3,0.498,0.05493
857,3,0.497,0.08602999999999998
533,23,0.871,0.008131044165816148
872,23,0.834,0.008131044165816148
469,23,0.831,0.008131044165816148
850,23,0.782,0.008131044165816148
985,23,0.779,0.008131044165816148
995,23,0.777,0.008131044165816148
921,23,0.754,0.008131044165816148
997,23,0.724,0.008131044165816148
197,23,0.67,0.008131044165816148
600,23,0.071,0.008131044165816148
319,63,0.954,0.008131044165816148
784,63,0.974,0.10683104416581615
780,63,0.96,0.10543104416581614
783,63,0.959,0.10413104416581613
782,63,0.957,0.10483104416581615
323,63,0.952,0.08623104416581615
511,63,0.533,0.05113104416581615
517,63,0.509,0.07153104416581615
717,63,0.484,0.06733104416581615
885,63,0.474,0.06413104416581615
