dataset,groundtruth_f1_score,model,f1_score
93,0.3,463,0.3552623632834321
93,0.3,465,0.34961478529831064
93,0.909090909,363,0.5657669058846202
93,0.303030303,367,0.5032272248205507
93,0.303030303,369,0.4921877753265337
93,0.666666667,415,0.5423371039224999
93,0.5,323,0.4096906011244495
93,0.384615385,371,0.6693160090069028
93,0.37037037,399,0.5844770210216523
93,0.37037037,401,0.5674405936513074
93,0.909090909,411,0.5380701490616485
93,0.631578947,327,0.49227448685260333
93,0.666666667,389,0.5740358852473628
93,0.5,325,0.40539353710831294
93,0.666666667,477,0.6110637556509182
93,0.909090909,365,0.5532312943592961
93,0.384615385,373,0.6500728711895252
93,0.342857143,319,0.31235162223502
93,0.352941176,321,0.3102613236094752
93,0.625,351,0.5064876363739266
93,0.625,353,0.49727221015714973
93,0.666666667,417,0.5236496411165212
93,0.454545455,431,0.4017356706397427
93,0.454545455,433,0.39442655250138753
93,0.666666667,453,0.6824766057713998
93,0.428571429,485,0.741454553812148
93,0.909090909,379,0.4703227797869752
93,0.4,308,0.41900727455939846
93,0.413793103,310,0.4121139407116236
93,0.631578947,329,0.4860960618066142
93,0.714285714,423,0.6259247174991875
93,0.714285714,425,0.61036151481837
93,0.909090909,413,0.5297066691283002
93,0.625,345,0.7127108064435392
93,0.444444444,290,0.26190171897056136
93,0.769230769,291,0.44680778771736607
93,0.5,292,0.27322456861810634
93,0.833333333,293,0.43908129499239407
93,0.5,294,0.2731229351825646
93,0.833333333,295,0.437270691337183
93,0.5,296,0.272916170770318
93,0.833333333,297,0.437583881005401
93,0.5,298,0.27291620675079137
93,0.545454545,299,0.41494626691599273
93,0.545454545,301,0.40513867736331
93,0.666666667,320,0.42876870759545743
93,0.666666667,322,0.4263202472470541
93,0.666666667,324,0.5092088182452991
93,0.666666667,326,0.5027259469766358
93,0.705882353,328,0.5281861446191699
93,0.705882353,330,0.5212669661125827
93,0.909090909,347,0.516920735413061
93,0.909090909,348,0.5303228932492352
93,0.909090909,349,0.5083637961450986
93,0.909090909,350,0.5208086117894555
93,0.714285714,352,0.5313687576113535
93,0.714285714,354,0.5241201268189876
93,0.625,355,0.5305624299449574
93,0.714285714,356,0.5400485951684239
93,0.625,357,0.5242734038188999
93,0.714285714,358,0.5348255167742757
93,0.666666667,375,0.5155977354807292
93,0.714285714,376,0.5224360617838197
93,0.666666667,377,0.508393280306966
93,0.714285714,378,0.514261612501009
93,0.909090909,380,0.4619147370701602
93,0.909090909,381,0.4624768269458297
93,0.909090909,382,0.45346033245777945
93,0.666666667,383,0.4323611940138964
93,0.769230769,384,0.4944856385550341
93,0.666666667,385,0.42190460960417064
93,0.769230769,386,0.48382905882631067
93,0.476190476,403,0.40011796555680423
93,0.666666667,404,0.47273184079725467
93,0.476190476,405,0.39592217976400534
93,0.666666667,406,0.46788858498686314
93,0.666666667,407,0.48483850299308917
93,0.714285714,408,0.5000742503984907
93,0.666666667,409,0.4772317749174074
93,0.714285714,410,0.4922753730257455
93,0.909090909,412,0.5323095976385022
93,0.909090909,414,0.5231138295789568
93,0.714285714,432,0.4714225242971909
93,0.714285714,434,0.4651060152169255
93,0.526315789,435,0.4563464789938606
93,0.714285714,436,0.500081437676475
93,0.526315789,437,0.4498759699864402
93,0.714285714,438,0.4937385253879696
93,0.666666667,439,0.4189972867538382
93,0.714285714,440,0.421693123107101
93,0.666666667,441,0.41616674580406754
93,0.714285714,442,0.41787253408694314
93,0.909090909,459,0.46795532749191865
93,0.909090909,460,0.4562763757291156
93,0.909090909,461,0.4607475790405524
93,0.909090909,462,0.4486347995411413
93,0.5,464,0.4454710587504234
93,0.5,466,0.4406860388529843
93,0.352941176,467,0.389321461094241
93,0.5,468,0.45884649454987836
93,0.352941176,469,0.3838329239209468
93,0.5,470,0.4532407303251299
93,0.5,487,0.4819628185052787
93,0.545454545,488,0.48878529200286386
93,0.5,489,0.47675257100928337
93,0.545454545,490,0.4816788100975503
93,0.666666667,491,0.5152081194886857
93,0.666666667,492,0.507427429024706
93,0.666666667,493,0.5082897628705368
93,0.666666667,494,0.4988014567595406
93,0.333333333,495,0.43944016687464343
93,0.461538462,496,0.48459706684323367
93,0.333333333,497,0.4312760463119007
93,0.461538462,498,0.4768612814233159
93,0.461538462,515,0.5142232093033895
93,0.5,516,0.5102791999737066
93,0.461538462,517,0.5048725531250448
93,0.5,518,0.5014509830933521
93,0.461538462,519,0.4177820403101677
93,0.5,520,0.41763620990799566
93,0.461538462,521,0.41362420719372395
93,0.5,522,0.4128512289924692
93,0.666666667,523,0.5126883466184836
93,0.666666667,524,0.5073071450734143
93,0.666666667,525,0.5055428016314888
93,0.666666667,526,0.5000557458583258
93,0.6,289,0.3682371127530081
93,0.526315789,338,0.609309001839514
93,0.588235294,374,0.7162217407454319
93,0.714285714,391,0.6475476801721898
93,0.769230769,392,0.7363794171853383
93,0.909090909,427,0.769370254613982
93,0.909090909,428,0.7890293203893074
93,0.909090909,445,0.670229110546955
93,0.909090909,446,0.7384581327674341
93,0.428571429,481,0.5824903552072522
93,0.545454545,482,0.6238102119410742
93,0.352941176,499,0.542116733866105
93,0.461538462,500,0.6398721139829477
93,0.555555556,340,0.6239862786335556
93,0.555555556,342,0.6109943487282875
93,0.666666667,359,0.42971399868793114
93,0.714285714,360,0.5625480303477174
93,0.666666667,361,0.4200291399097399
93,0.714285714,362,0.5517861072580467
93,0.666666667,387,0.5940604260513369
93,0.625,400,0.6591723301549665
93,0.625,402,0.6416106635575434
93,0.666666667,419,0.4687958797956462
93,0.769230769,420,0.5869788202541004
93,0.666666667,421,0.45624718620171134
93,0.769230769,422,0.5723387968517964
93,0.428571429,479,0.5998370824334416
93,0.545454545,480,0.6407517970937113
