dataset,groundtruth_f1_score,model,f1_score
93,0.3,463,0.35949038916871046
93,0.3,465,0.3538394778859952
93,0.909090909,363,0.5700998859787964
93,0.303030303,367,0.5073244869298684
93,0.303030303,369,0.49628551616392647
93,0.666666667,415,0.546634469120644
93,0.5,323,0.4139550625487359
93,0.384615385,371,0.673361406448916
93,0.37037037,399,0.5884869109080403
93,0.37037037,401,0.5714557429602124
93,0.909090909,411,0.5424030982491905
93,0.631578947,327,0.496584475251309
93,0.666666667,389,0.5782353145810495
93,0.5,325,0.4096553192302492
93,0.666666667,477,0.6153454133215618
93,0.909090909,365,0.5575629005097812
93,0.384615385,373,0.6541229713107941
93,0.342857143,319,0.31655522440067857
93,0.352941176,321,0.31446357649592027
93,0.625,351,0.5107970830302635
93,0.625,353,0.5015762591263717
93,0.666666667,417,0.527945152345951
93,0.454545455,431,0.40597913608568675
93,0.454545455,433,0.3986657657234561
93,0.666666667,453,0.6866507827142729
93,0.428571429,485,0.7455737123251435
93,0.909090909,379,0.47463328972439706
93,0.4,308,0.423208626742196
93,0.413793103,310,0.41631533310306645
93,0.631578947,329,0.49040247434603906
93,0.714285714,423,0.6300959204752083
93,0.714285714,425,0.6145341624879815
93,0.909090909,413,0.534034601800599
93,0.625,345,0.7167776870979443
93,0.444444444,290,0.26608099785737394
93,0.769230769,291,0.4510990916938928
93,0.5,292,0.277410478106477
93,0.833333333,293,0.4433675853069669
93,0.5,294,0.2773089039819262
93,0.833333333,295,0.44155576848483297
93,0.5,296,0.2771023170175627
93,0.833333333,297,0.4418693014660057
93,0.5,298,0.27710235296715713
93,0.545454545,299,0.41921683633549633
93,0.545454545,301,0.4094048215262077
93,0.666666667,320,0.43305232050992026
93,0.666666667,322,0.4306018605118041
93,0.666666667,324,0.5135235415385273
93,0.666666667,326,0.5070370636412703
93,0.705882353,328,0.5325129060492827
93,0.705882353,330,0.5255898238954952
93,0.909090909,347,0.5212238636123223
93,0.909090909,348,0.5346561849011832
93,0.909090909,349,0.5126620365276587
93,0.909090909,350,0.5251365553309099
93,0.714285714,352,0.5356939817274482
93,0.714285714,354,0.5284414154645506
93,0.625,355,0.5348826242768393
93,0.714285714,356,0.5443773102810212
93,0.625,357,0.5285903199625932
93,0.714285714,358,0.5391512926080239
