dataset,according_accuracy,groundtruth_according_accuracy,model
1,0.858586111111111,0.949,596
1,0.858586111111111,0.947,708
1,0.858586111111111,0.946,795
1,0.858586111111111,0.925,597
1,0.8566827777777777,0.914,950
1,0.858586111111111,0.905,841
1,0.858586111111111,0.901,641
1,0.858586111111111,0.883,868
1,0.8564611111111111,0.851,772
1,0.8559127777777776,0.508,527
1,0.858586111111111,0.501,318
3,0.7620080482539683,0.946,319
3,0.7620080482539683,0.922,177
3,0.7620080482539683,0.91,178
3,0.7394802704761905,0.886,675
3,0.7620080482539683,0.87,791
3,0.7620080482539683,0.807,277
3,0.760005634920635,0.778,456
3,0.7620080482539683,0.502,978
3,0.7022056349206348,0.498,368
3,0.764405634920635,0.497,857
23,0.8488861111111111,0.871,533
23,0.8488861111111111,0.834,872
23,0.8488861111111111,0.831,469
23,0.8488861111111111,0.782,850
23,0.8488861111111111,0.779,985
23,0.8488861111111111,0.777,995
23,0.8488861111111111,0.754,921
23,0.8488861111111111,0.724,997
23,0.8488861111111111,0.67,197
23,0.8488861111111111,0.071,600
63,0.8594059386973181,0.954,319
63,0.8939611111111111,0.974,784
63,0.8925611111111109,0.96,780
63,0.891261111111111,0.959,783
63,0.891961111111111,0.957,782
63,0.8733611111111111,0.952,323
63,0.8382611111111112,0.533,511
63,0.8586611111111111,0.509,517
63,0.8544611111111111,0.484,717
63,0.8512611111111111,0.474,885
