dataset,according_accuracy,groundtruth_according_accuracy,model
1,0.8766722222222223,0.949,596
1,0.8766722222222223,0.947,708
1,0.8766722222222223,0.946,795
1,0.8766722222222223,0.925,597
1,0.8728655555555556,0.914,950
1,0.8766722222222223,0.905,841
1,0.8766722222222223,0.901,641
1,0.8766722222222223,0.883,868
1,0.8724222222222222,0.851,772
1,0.8713255555555556,0.508,527
1,0.8766722222222223,0.501,318
3,0.6681055555555555,0.946,319
3,0.6681055555555555,0.922,177
3,0.6681055555555555,0.91,178
3,0.6230499999999999,0.886,675
3,0.6681055555555555,0.87,791
3,0.6681055555555555,0.807,277
3,0.6681055555555555,0.778,456
3,0.6681055555555555,0.502,978
3,0.6681055555555555,0.498,368
3,0.6681055555555555,0.497,857
23,0.8500055555555555,0.871,533
23,0.8500055555555555,0.834,872
23,0.8500055555555555,0.831,469
23,0.8500055555555555,0.782,850
23,0.8500055555555555,0.779,985
23,0.8500055555555555,0.777,995
23,0.8500055555555555,0.754,921
23,0.8500055555555555,0.724,997
23,0.8500055555555555,0.67,197
23,0.8500055555555555,0.071,600
63,0.8572563218390805,0.954,319
63,0.9263666666666668,0.974,784
63,0.9235666666666666,0.96,780
63,0.9209666666666667,0.959,783
63,0.9223666666666667,0.957,782
63,0.8851666666666667,0.952,323
63,0.8149666666666666,0.533,511
63,0.8557666666666666,0.509,517
63,0.8473666666666666,0.484,717
63,0.8409666666666666,0.474,885
