dataset,balanced_accuracy,model,groundtruth_balanced_accuracy
1,0.37836574103000115,97,0.672733762
1,0.39152462591069914,98,0.748037116
1,0.4036658764153616,99,0.755531763
1,0.491437068506578,100,0.995360457
1,0.47904006035397473,101,0.994289793
1,0.48323923866992563,102,0.98965025
1,0.49634868470405,103,0.996074233
1,0.4965806147261933,104,0.998572448
1,0.4948395405587429,105,0.996788009
1,0.4948474521480389,106,0.995003569
1,0.49490701278775406,107,0.995003569
1,0.33234761557956194,108,0.564239829
1,0.32624783379758127,109,0.584939329
1,0.39019362477002073,110,0.756245539
1,0.39412216450722576,111,0.727337616
1,0.3324964451787956,112,0.593147752
1,0.47843352179475296,113,0.992862241
1,0.3282048761100211,114,0.559957173
1,0.4943700828664971,115,0.987508922
1,0.3180561249240493,116,0.575660243
1,0.48737724146937483,117,0.982869379
1,0.35584347453215165,118,0.578158458
1,0.4949577506434206,119,0.975374732
1,0.498134778492805,120,0.980728051
1,0.33928853253584934,121,0.584582441
1,0.31317102016473103,247,0.499286224
1,0.31331526334860854,248,0.5
1,0.3132931699258036,249,0.499643112
1,0.28166131881909395,250,0.41184868
1,0.34261972142314223,251,0.514989293
1,0.286134194200327,252,0.44468237
1,0.31104322351840263,253,0.447537473
1,0.3430230915351076,254,0.553890079
1,0.3219939787749156,255,0.546395432
1,0.3279695739339738,256,0.526766595
1,0.3011979195164802,257,0.44111349
1,0.31331526334860854,258,0.5
1,0.31331526334860854,259,0.5
1,0.31331526334860854,260,0.5
1,0.31331526334860854,261,0.5
1,0.3136086931896796,262,0.500713776
1,0.31331526334860854,263,0.5
1,0.31331526334860854,264,0.5
1,0.31320090436542963,265,0.499643112
1,0.309411600430879,266,0.504282655
1,0.31361441266732387,267,0.500713776
1,0.3072853473111955,268,0.493219129
1,0.18426170306235018,269,0.151677373
1,0.14752969118186465,270,0.066738044
1,0.31331526334860854,271,0.5
1,0.32289340142414547,297,0.506067095
1,0.32118084018679366,298,0.502855103
1,0.3257081676222825,299,0.502141328
1,0.3027934919970003,300,0.504639543
1,0.33229856737985647,301,0.517844397
1,0.33954178284370273,302,0.520342612
1,0.2764831938106881,303,0.461099215
1,0.338361827777305,304,0.575303355
1,0.3378837040323724,305,0.620985011
1,0.29945257251278623,306,0.387937188
1,0.26489404568008157,307,0.428265525
1,0.31331526334860854,308,0.5
1,0.29638774901877857,309,0.454675232
1,0.31355820609483775,310,0.480014276
1,0.31502519007673285,311,0.501427552
1,0.31742124422156887,312,0.509279086
1,0.3127525036683532,313,0.5
1,0.316229810665646,314,0.57958601
1,0.2850928269801581,315,0.413276231
1,0.31331526334860854,316,0.5
1,0.31301584170715013,317,0.5
1,0.32236618844983456,318,0.529978587
1,0.32392163914769734,319,0.453961456
1,0.2771438110394944,320,0.429693076
1,0.3166218034804896,321,0.510706638
1,0.4282136681146578,372,0.799428979
1,0.39967552695194153,373,0.762312634
1,0.4248169362185609,374,0.807280514
1,0.4788546071900191,375,0.996074233
1,0.4840565749794017,376,0.996788009
1,0.5005331599615761,377,0.990720914
1,0.5031574026837722,378,0.99821556
1,0.4936669753614594,379,0.998929336
1,0.49602982711468313,380,0.996431121
