dataset,balanced_accuracy,model,groundtruth_balanced_accuracy
1,0.6263839411295723,97,0.672733762
1,0.6483257352574094,98,0.748037116
1,0.6685512223313177,99,0.755531763
1,0.8148526454236449,100,0.995360457
1,0.7941989274178693,101,0.994289793
1,0.8011925633493991,102,0.98965025
1,0.8230368379433644,103,0.996074233
1,0.8234232011308371,104,0.998572448
1,0.8205214210941456,105,0.996788009
1,0.8205345330734262,106,0.995003569
1,0.8206338313979284,107,0.995003569
1,0.5496946869389302,108,0.564239829
1,0.5395299274408115,109,0.584939329
1,0.6461078293014618,110,0.756245539
1,0.6526514190357657,111,0.727337616
1,0.5499409516784733,112,0.593147752
1,0.793187597417555,113,0.992862241
1,0.542787964566522,114,0.559957173
1,0.8197459093824018,115,0.987508922
1,0.5258866153527015,116,0.575660243
1,0.808087834607044,117,0.982869379
1,0.5888449060944759,118,0.578158458
1,0.8207170252689325,119,0.975374732
1,0.8260141426534242,120,0.980728051
1,0.5612596990786018,121,0.584582441
1,0.5177250240152419,247,0.499286224
1,0.5179654237288452,248,0.5
1,0.5179285998329328,249,0.499643112
1,0.4652007972967456,250,0.41184868
1,0.5667977693156804,251,0.514989293
1,0.472667434091797,252,0.44468237
1,0.5141759309134912,253,0.447537473
1,0.5674782124794526,254,0.553890079
1,0.5324388702885224,255,0.546395432
1,0.542390517729582,256,0.526766595
1,0.497769859844453,257,0.44111349
1,0.5179654237288452,258,0.5
1,0.5179654237288452,259,0.5
1,0.5179654237288452,260,0.5
1,0.5179654237288452,261,0.5
1,0.5184544384795416,262,0.500713776
1,0.5179654237288452,263,0.5
1,0.5179654237288452,264,0.5
1,0.5177748516069152,265,0.499643112
1,0.5114610405701017,266,0.504282655
1,0.5184640349235414,267,0.500713776
1,0.5079152924867414,268,0.493219129
1,0.3028653153575516,269,0.151677373
1,0.24164314265161996,270,0.066738044
1,0.5179654237288452,271,0.5
1,0.5339284313147148,297,0.506067095
1,0.5310754491260418,298,0.502855103
1,0.5386179370277138,299,0.502141328
1,0.5004318875599709,300,0.504639543
1,0.5495924979526968,301,0.517844397
1,0.5616744238697604,302,0.520342612
1,0.4565885362600122,303,0.461099215
1,0.5597133502841215,304,0.575303355
1,0.5589339857195674,305,0.620985011
1,0.49484514316180034,306,0.387937188
1,0.4372746668512584,307,0.428265525
1,0.5179654237288452,308,0.5
1,0.489745242388654,309,0.454675232
1,0.5183662233331879,310,0.480014276
1,0.520815114957992,311,0.501427552
1,0.5248131621622887,312,0.509279086
1,0.5170274239753201,313,0.5
1,0.5228402259289664,314,0.57958601
1,0.4709216493700167,315,0.413276231
1,0.5179654237288452,316,0.5
1,0.5174663333766414,317,0.5
1,0.5330516685051481,318,0.529978587
1,0.5356251986698285,319,0.453961456
1,0.4576788149440043,320,0.429693076
1,0.5234765994005314,321,0.510706638
1,0.7094661231013952,372,0.799428979
1,0.6619118836222039,373,0.762312634
1,0.703806341419112,374,0.807280514
1,0.793890897459653,375,0.996074233
1,0.8025610020679508,376,0.996788009
1,0.8300087182046743,377,0.990720914
1,0.834385756626655,378,0.99821556
1,0.8185690842963409,379,0.998929336
1,0.822505864198358,380,0.996431121
1,0.8205247449543359,381,0.994646681
1,0.8186193237619505,382,0.997144897
1,0.5442880722453269,383,0.536759458
1,0.5781476163247632,384,0.658815132
1,0.6952093883399904,385,0.813704497
1,0.6812277292910528,386,0.76302641
1,0.5655354624305704,387,0.625624554
1,0.8018514321444705,388,0.974304069
1,0.5808386812130562,389,0.630264097
1,0.8061252168761899,390,0.992148465
1,0.5758017416770347,391,0.606709493
1,0.8207234559259169,392,0.991791577
1,0.5815085894311585,393,0.606352605
1,0.8154836279638413,394,0.990007138
1,0.8234813322765627,395,0.989293362
1,0.6023247832661173,396,0.706995004
1,0.5178907565115045,422,0.5
1,0.5359820850283367,423,0.518915061
1,0.5763653012243733,424,0.563169165
1,0.36352889237696573,425,0.284796574
1,0.47546191396107673,426,0.459314775
1,0.5229405193252041,427,0.518558173
1,0.5280225302885866,428,0.507137759
1,0.6003801389635963,429,0.574232691
1,0.5435229893830802,430,0.513204854
1,0.501890649274198,431,0.476445396
1,0.43371064239602464,432,0.349036403
1,0.5179654237288452,433,0.5
1,0.5173996122145117,434,0.526052819
1,0.5116375771340411,435,0.517130621
1,0.5523415052629769,436,0.528194147
1,0.537882756725982,437,0.502141328
