model,dataset,groundtruth_f1_score,f1_score
463,93,0.3,0.35666478453333333
465,93,0.3,0.35086768313333333
363,93,0.909090909,0.5448195235333333
367,93,0.303030303,0.6234603666
369,93,0.303030303,0.6133307131333334
415,93,0.666666667,0.54503037
323,93,0.5,0.4008092696000001
371,93,0.384615385,0.7981966289999999
399,93,0.37037037,0.7471269254
401,93,0.37037037,0.7212717348000001
411,93,0.909090909,0.4900997151333334
327,93,0.631578947,0.4781452204
389,93,0.666666667,0.6110045464666667
325,93,0.5,0.3964842744
477,93,0.666666667,0.6093115917333335
365,93,0.909090909,0.5297283221333333
373,93,0.384615385,0.7799841692666667
319,93,0.342857143,0.3206258230666667
321,93,0.352941176,0.31600795826666667
351,93,0.625,0.4656553147333333
353,93,0.625,0.45562189786666674
417,93,0.666666667,0.5164146746666667
431,93,0.454545455,0.3887888494
433,93,0.454545455,0.38363673366666673
453,93,0.666666667,0.7608032272666667
485,93,0.428571429,0.8427631191333333
379,93,0.909090909,0.4308201058666667
308,93,0.4,0.42610712486666663
310,93,0.413793103,0.41546360359999995
329,93,0.631578947,0.47417362486666664
423,93,0.714285714,0.6949607077333333
425,93,0.714285714,0.6791676841333333
413,93,0.909090909,0.48470229119999997
345,93,0.625,0.8024547227333333
290,93,0.444444444,0.2831246532666667
291,93,0.769230769,0.4061870362666667
292,93,0.5,0.2886802088
293,93,0.833333333,0.3869794584666667
294,93,0.5,0.2886802088
295,93,0.833333333,0.3869794584666667
296,93,0.5,0.2886802088
297,93,0.833333333,0.3869794584666667
298,93,0.5,0.2886802088
299,93,0.545454545,0.3699938950000001
301,93,0.545454545,0.3699938950000001
320,93,0.666666667,0.4101086048666667
322,93,0.666666667,0.4013366750000001
324,93,0.666666667,0.4861403509333334
326,93,0.666666667,0.47736842106666677
328,93,0.705882353,0.5016470664666667
330,93,0.705882353,0.49256553913333334
347,93,0.909090909,0.4452630581333334
348,93,0.909090909,0.4767752715333333
349,93,0.909090909,0.43780219786666674
350,93,0.909090909,0.4652645503333333
