model,dataset,groundtruth_f1_score,f1_score
463,93,0.3,0.31320346339999994
465,93,0.3,0.31320346339999994
363,93,0.909090909,0.49219298259999994
367,93,0.303030303,0.6354076366
369,93,0.303030303,0.587368421
415,93,0.666666667,0.5315656568
323,93,0.5,0.3511428572
371,93,0.384615385,0.8004962778
399,93,0.37037037,0.7466666666
401,93,0.37037037,0.695151515
411,93,0.909090909,0.44021978019999997
327,93,0.631578947,0.4194805196
389,93,0.666666667,0.5488888891999999
325,93,0.5,0.35242490839999996
477,93,0.666666667,0.5726955267999999
365,93,0.909090909,0.46654778840000005
373,93,0.384615385,0.7515617714
319,93,0.342857143,0.3095238096
321,93,0.352941176,0.3116144018
351,93,0.625,0.4187969924
353,93,0.625,0.4187969924
417,93,0.666666667,0.4926841948
431,93,0.454545455,0.37252747259999996
433,93,0.454545455,0.37252747259999996
453,93,0.666666667,0.7035897436
485,93,0.428571429,0.7599650348
379,93,0.909090909,0.3838095238
308,93,0.4,0.4391972268
310,93,0.413793103,0.40697167739999995
329,93,0.631578947,0.4194805196
423,93,0.714285714,0.654871795
425,93,0.714285714,0.602014652
413,93,0.909090909,0.44021978019999997
345,93,0.625,0.724040404
290,93,0.444444444,0.28701298719999996
291,93,0.769230769,0.3838095238
292,93,0.5,0.2965367966
293,93,0.833333333,0.36666666659999997
294,93,0.5,0.2965367966
295,93,0.833333333,0.36666666659999997
296,93,0.5,0.2965367966
297,93,0.833333333,0.36666666659999997
298,93,0.5,0.2965367966
299,93,0.545454545,0.3468864468
301,93,0.545454545,0.3468864468
320,93,0.666666667,0.3922305764
322,93,0.666666667,0.3922305764
324,93,0.666666667,0.4588972432
326,93,0.666666667,0.4588972432
328,93,0.705882353,0.4682539684
330,93,0.705882353,0.4682539684
347,93,0.909090909,0.3731684982
348,93,0.909090909,0.4388095238
349,93,0.909090909,0.3731684982
350,93,0.909090909,0.4321428572
352,93,0.714285714,0.455182073
354,93,0.714285714,0.455182073
355,93,0.625,0.48228905600000005
356,93,0.714285714,0.4996265174
357,93,0.625,0.48228905600000005
358,93,0.714285714,0.4996265174
375,93,0.666666667,0.4612364244
376,93,0.714285714,0.48492063500000004
377,93,0.666666667,0.4612364244
378,93,0.714285714,0.48492063500000004
380,93,0.909090909,0.3838095238
381,93,0.909090909,0.3838095238
382,93,0.909090909,0.3838095238
383,93,0.666666667,0.34208909379999997
384,93,0.769230769,0.4302197802
385,93,0.666666667,0.34208909379999997
386,93,0.769230769,0.4302197802
403,93,0.476190476,0.36742857139999996
404,93,0.666666667,0.44377387319999995
405,93,0.476190476,0.36742857139999996
406,93,0.666666667,0.44377387319999995
407,93,0.666666667,0.3977443608
408,93,0.714285714,0.45259740260000003
409,93,0.666666667,0.3977443608
410,93,0.714285714,0.45259740260000003
412,93,0.909090909,0.4625974026
414,93,0.909090909,0.4625974026
432,93,0.714285714,0.43165266119999995
434,93,0.714285714,0.43165266119999995
435,93,0.526315789,0.434920635
436,93,0.714285714,0.47609710560000007
437,93,0.526315789,0.434920635
438,93,0.714285714,0.47609710560000007
439,93,0.666666667,0.3501253132
440,93,0.714285714,0.3738095238
441,93,0.666666667,0.3501253132
442,93,0.714285714,0.3738095238
459,93,0.909090909,0.3838095238
460,93,0.909090909,0.3838095238
461,93,0.909090909,0.3838095238
462,93,0.909090909,0.3838095238
464,93,0.5,0.4154761906
466,93,0.5,0.4154761906
467,93,0.352941176,0.32077922099999995
468,93,0.5,0.4154761906
469,93,0.352941176,0.3242424244
470,93,0.5,0.4154761906
487,93,0.5,0.40521978020000005
488,93,0.545454545,0.435930736
489,93,0.5,0.40521978020000005
490,93,0.545454545,0.435930736
491,93,0.666666667,0.43333333339999996
492,93,0.666666667,0.44545454539999996
493,93,0.666666667,0.43333333339999996
494,93,0.666666667,0.44545454539999996
495,93,0.333333333,0.43015873019999995
496,93,0.461538462,0.4682539684
497,93,0.333333333,0.43015873019999995
498,93,0.461538462,0.459920635
515,93,0.461538462,0.459920635
516,93,0.5,0.4682539684
517,93,0.461538462,0.459920635
518,93,0.5,0.4682539684
519,93,0.461538462,0.3488095238
520,93,0.5,0.3571428572
521,93,0.461538462,0.3488095238
522,93,0.5,0.3571428572
523,93,0.666666667,0.43333333339999996
524,93,0.666666667,0.44545454539999996
525,93,0.666666667,0.43333333339999996
526,93,0.666666667,0.44545454539999996
289,93,0.6,0.33044733039999996
338,93,0.526315789,0.7618206354
374,93,0.588235294,0.8202551831999999
391,93,0.714285714,0.6698412699999999
392,93,0.769230769,0.8414285714
427,93,0.909090909,0.7958974358
428,93,0.909090909,0.8625641026
445,93,0.909090909,0.6492533936
