model,dataset,groundtruth_f1_score,f1_score
463,93,0.3,0.3278232638
465,93,0.3,0.31912761170000004
363,93,0.909090909,0.45519582339999987
367,93,0.303030303,0.6194031648
369,93,0.303030303,0.6052449374
415,93,0.666666667,0.488571196
323,93,0.5,0.3764372295000001
371,93,0.384615385,0.8349072298
399,93,0.37037037,0.8142424242
401,93,0.37037037,0.7813419912999999
411,93,0.909090909,0.4266575092
327,93,0.631578947,0.4187878789
389,93,0.666666667,0.5795071012
325,93,0.5,0.3714505495
477,93,0.666666667,0.5450714600000001
365,93,0.909090909,0.43659591529999997
373,93,0.384615385,0.805399654
319,93,0.342857143,0.3267507004
321,93,0.352941176,0.3233396685
351,93,0.625,0.41265664160000004
353,93,0.625,0.4021303258000001
417,93,0.666666667,0.45675876409999994
431,93,0.454545455,0.3591575092
433,93,0.454545455,0.35146520160000005
453,93,0.666666667,0.7348168498
485,93,0.428571429,0.8423201797000001
379,93,0.909090909,0.398452381
308,93,0.4,0.42652179839999993
310,93,0.413793103,0.4111229653
329,93,0.631578947,0.41299840520000003
423,93,0.714285714,0.6932972420000001
425,93,0.714285714,0.6696385477
413,93,0.909090909,0.4191575092
345,93,0.625,0.8228897672000001
290,93,0.444444444,0.2989177491
291,93,0.769230769,0.40507002810000003
292,93,0.5,0.30367965380000006
293,93,0.833333333,0.38988095240000004
294,93,0.5,0.30367965380000006
295,93,0.833333333,0.38988095240000004
296,93,0.5,0.30367965380000006
297,93,0.833333333,0.38988095240000004
298,93,0.5,0.30367965380000006
299,93,0.545454545,0.37249084250000003
301,93,0.545454545,0.37249084250000003
320,93,0.666666667,0.3851629073
322,93,0.666666667,0.37832080200000007
324,93,0.666666667,0.4184962407
326,93,0.666666667,0.41165413540000007
328,93,0.705882353,0.4309523811
330,93,0.705882353,0.42376283859999997
347,93,0.909090909,0.3997495153
348,93,0.909090909,0.425952381
349,93,0.909090909,0.39313186820000007
350,93,0.909090909,0.4151190477
352,93,0.714285714,0.42441643340000007
354,93,0.714285714,0.41722689090000004
355,93,0.625,0.44440267340000006
356,93,0.714285714,0.44663865560000005
357,93,0.625,0.4379699249000001
358,93,0.714285714,0.43944911310000007
375,93,0.666666667,0.41633249800000005
376,93,0.714285714,0.4246658313
377,93,0.666666667,0.40966583130000006
378,93,0.714285714,0.41706349220000005
380,93,0.909090909,0.390952381
