model,dataset,groundtruth_f1_score,f1_score
463,93,0.3,0.25
465,93,0.3,0.25
363,93,0.909090909,0.368421053
367,93,0.303030303,0.736842105
369,93,0.303030303,0.736842105
415,93,0.666666667,0.363636364
323,93,0.5,0.25
371,93,0.384615385,1.0
399,93,0.37037037,1.0
401,93,0.37037037,1.0
411,93,0.909090909,0.25
327,93,0.631578947,0.25
389,93,0.666666667,0.7
325,93,0.5,0.25
477,93,0.666666667,0.48
365,93,0.909090909,0.368421053
373,93,0.384615385,1.0
319,93,0.342857143,0.25
321,93,0.352941176,0.25
351,93,0.625,0.25
353,93,0.625,0.25
417,93,0.666666667,0.352941176
431,93,0.454545455,0.25
433,93,0.454545455,0.25
453,93,0.666666667,0.8
485,93,0.428571429,0.923076923
379,93,0.909090909,0.25
308,93,0.4,0.466666667
310,93,0.413793103,0.466666667
329,93,0.631578947,0.25
423,93,0.714285714,0.75
425,93,0.714285714,0.75
413,93,0.909090909,0.25
345,93,0.625,1.0
290,93,0.444444444,0.25
291,93,0.769230769,0.25
292,93,0.5,0.25
293,93,0.833333333,0.25
294,93,0.5,0.25
295,93,0.833333333,0.25
296,93,0.5,0.25
297,93,0.833333333,0.25
298,93,0.5,0.25
299,93,0.545454545,0.25
301,93,0.545454545,0.25
320,93,0.666666667,0.25
322,93,0.666666667,0.25
324,93,0.666666667,0.25
326,93,0.666666667,0.25
328,93,0.705882353,0.25
330,93,0.705882353,0.25
347,93,0.909090909,0.25
348,93,0.909090909,0.25
349,93,0.909090909,0.25
350,93,0.909090909,0.25
352,93,0.714285714,0.25
354,93,0.714285714,0.25
355,93,0.625,0.25
356,93,0.714285714,0.25
357,93,0.625,0.25
358,93,0.714285714,0.25
375,93,0.666666667,0.25
376,93,0.714285714,0.25
377,93,0.666666667,0.25
378,93,0.714285714,0.25
380,93,0.909090909,0.25
381,93,0.909090909,0.25
382,93,0.909090909,0.25
383,93,0.666666667,0.25
384,93,0.769230769,0.25
385,93,0.666666667,0.25
386,93,0.769230769,0.25
403,93,0.476190476,0.25
404,93,0.666666667,0.25
405,93,0.476190476,0.25
406,93,0.666666667,0.25
407,93,0.666666667,0.25
408,93,0.714285714,0.25
409,93,0.666666667,0.25
410,93,0.714285714,0.25
412,93,0.909090909,0.25
414,93,0.909090909,0.25
432,93,0.714285714,0.25
434,93,0.714285714,0.25
435,93,0.526315789,0.25
436,93,0.714285714,0.25
437,93,0.526315789,0.25
438,93,0.714285714,0.25
439,93,0.666666667,0.25
440,93,0.714285714,0.25
441,93,0.666666667,0.25
442,93,0.714285714,0.25
459,93,0.909090909,0.25
460,93,0.909090909,0.25
461,93,0.909090909,0.25
462,93,0.909090909,0.25
464,93,0.5,0.25
466,93,0.5,0.25
467,93,0.352941176,0.25
468,93,0.5,0.25
469,93,0.352941176,0.25
470,93,0.5,0.25
487,93,0.5,0.25
488,93,0.545454545,0.25
489,93,0.5,0.25
490,93,0.545454545,0.25
491,93,0.666666667,0.25
492,93,0.666666667,0.25
493,93,0.666666667,0.25
494,93,0.666666667,0.25
495,93,0.333333333,0.25
496,93,0.461538462,0.25
497,93,0.333333333,0.25
498,93,0.461538462,0.25
515,93,0.461538462,0.25
516,93,0.5,0.25
517,93,0.461538462,0.25
518,93,0.5,0.25
519,93,0.461538462,0.25
520,93,0.5,0.25
521,93,0.461538462,0.25
522,93,0.5,0.25
523,93,0.666666667,0.25
524,93,0.666666667,0.25
525,93,0.666666667,0.25
526,93,0.666666667,0.25
289,93,0.6,0.222222222
338,93,0.526315789,0.736842105
374,93,0.588235294,1.0
391,93,0.714285714,0.666666667
392,93,0.769230769,0.933333333
427,93,0.909090909,0.923076923
428,93,0.909090909,0.923076923
445,93,0.909090909,0.705882353
446,93,0.909090909,0.923076923
481,93,0.428571429,0.705882353
482,93,0.545454545,0.857142857
499,93,0.352941176,0.705882353
500,93,0.461538462,0.857142857
340,93,0.555555556,0.875
342,93,0.555555556,0.875
359,93,0.666666667,0.285714286
360,93,0.714285714,0.636363636
361,93,0.666666667,0.285714286
362,93,0.714285714,0.608695652
387,93,0.666666667,0.666666667
400,93,0.625,1.0
402,93,0.625,1.0
419,93,0.666666667,0.4
420,93,0.769230769,0.666666667
421,93,0.666666667,0.4
422,93,0.769230769,0.666666667
479,93,0.428571429,0.705882353
480,93,0.545454545,0.857142857
501,93,0.352941176,0.705882353
502,93,0.461538462,0.923076923
336,93,0.526315789,0.736842105
447,93,0.666666667,0.666666667
429,93,0.909090909,0.923076923
449,93,0.666666667,0.705882353
471,93,0.461538462,0.428571429
473,93,0.461538462,0.428571429
311,93,0.6,0.636363636
313,93,0.6,0.636363636
393,93,0.714285714,0.7
475,93,0.666666667,0.461538462
343,93,0.625,1.0
366,93,0.909090909,0.636363636
370,93,0.588235294,0.875
397,93,0.909090909,0.777777778
398,93,0.909090909,0.933333333
416,93,0.769230769,0.666666667
418,93,0.769230769,0.666666667
444,93,0.909090909,0.923076923
