model,balanced_accuracy,groundtruth_balanced_accuracy,dataset
97,0.16851351998281688,0.672733762,1
98,0.1749284547803187,0.748037116,1
99,0.18222407918120756,0.755531763,1
100,0.229697714245121,0.995360457,1
101,0.22303055743286895,0.994289793,1
102,0.22444530423826284,0.98965025,1
103,0.2323843082942829,0.996074233,1
104,0.23178976340955953,0.998572448,1
105,0.23221065222697568,0.996788009,1
106,0.2313136969996013,0.995003569,1
107,0.23138275909284847,0.995003569,1
108,0.14194257338137273,0.564239829,1
109,0.14143437543942722,0.584939329,1
110,0.17518959780763327,0.756245539,1
111,0.1769293489299835,0.727337616,1
112,0.14387924080572442,0.593147752,1
113,0.22126244382394014,0.992862241,1
114,0.14230422453011157,0.559957173,1
115,0.2224400347029508,0.987508922,1
116,0.1374075154864272,0.575660243,1
117,0.22487683502815076,0.982869379,1
118,0.15397967649587685,0.578158458,1
119,0.22667281048268365,0.975374732,1
120,0.22439004756554676,0.980728051,1
121,0.1484555108390128,0.584582441,1
247,0.1342610529581439,0.499286224,1
248,0.13427167347999133,0.5,1
249,0.13425892260512504,0.499643112,1
250,0.11923448514270742,0.41184868,1
251,0.14447956846696036,0.514989293,1
252,0.12013810611422877,0.44468237,1
253,0.1271857584911873,0.447537473,1
254,0.14430326663738194,0.553890079,1
255,0.13864752469869338,0.546395432,1
256,0.1414410005549784,0.526766595,1
257,0.1242848727913377,0.44111349,1
258,0.13427167347999133,0.5,1
259,0.13427167347999133,0.5,1
260,0.13427167347999133,0.5,1
261,0.13427167347999133,0.5,1
262,0.13432699090059436,0.500713776,1
263,0.13427167347999133,0.5,1
264,0.13427167347999133,0.5,1
265,0.13427413193441343,0.499643112,1
266,0.134812449640592,0.504282655,1
267,0.13444112656452958,0.500713776,1
268,0.13227685767604094,0.493219129,1
269,0.06542335141978935,0.151677373,1
270,0.04846006207520136,0.066738044,1
271,0.13427167347999133,0.5,1
297,0.1363754165188529,0.506067095,1
298,0.13839719178540796,0.502855103,1
299,0.1378500562074763,0.502141328,1
300,0.13070293429216062,0.504639543,1
301,0.14890504613133845,0.517844397,1
302,0.13739360387490596,0.520342612,1
303,0.11459592323053962,0.461099215,1
304,0.1509712414072616,0.575303355,1
305,0.14713821365500437,0.620985011,1
306,0.12523831864097304,0.387937188,1
307,0.1070759428284619,0.428265525,1
308,0.13427167347999133,0.5,1
309,0.12662102296426705,0.454675232,1
310,0.13229954766161248,0.480014276,1
311,0.13483442133049633,0.501427552,1
312,0.134133650932866,0.509279086,1
313,0.13397560494016603,0.5,1
314,0.13727669800665485,0.57958601,1
315,0.1153164172216942,0.413276231,1
316,0.13427167347999133,0.5,1
317,0.13410072075788365,0.5,1
318,0.14019317246680002,0.529978587,1
319,0.13763837465393333,0.453961456,1
320,0.11772785244584709,0.429693076,1
