dataset,groundtruth_according_accuracy,model,according_accuracy
1,0.949,596,0.858586111111111
1,0.947,708,0.858586111111111
1,0.946,795,0.858586111111111
1,0.925,597,0.858586111111111
1,0.914,950,0.8566827777777777
1,0.905,841,0.858586111111111
1,0.901,641,0.858586111111111
1,0.883,868,0.858586111111111
1,0.851,772,0.8564611111111111
1,0.508,527,0.8559127777777776
1,0.501,318,0.858586111111111
3,0.946,319,0.7620080482539683
3,0.922,177,0.7620080482539683
3,0.91,178,0.7620080482539683
3,0.886,675,0.7394802704761905
3,0.87,791,0.7620080482539683
3,0.807,277,0.7620080482539683
3,0.778,456,0.760005634920635
3,0.502,978,0.7620080482539683
3,0.498,368,0.7022056349206348
3,0.497,857,0.7644056349206348
23,0.871,533,0.8488861111111111
23,0.834,872,0.8488861111111111
23,0.831,469,0.8488861111111111
23,0.782,850,0.8488861111111111
23,0.779,985,0.8488861111111111
23,0.777,995,0.8488861111111111
23,0.754,921,0.8488861111111111
23,0.724,997,0.8488861111111111
23,0.67,197,0.8488861111111111
23,0.071,600,0.8488861111111111
63,0.954,319,0.8594059386973181
63,0.974,784,0.8939611111111111
63,0.96,780,0.8925611111111109
63,0.959,783,0.891261111111111
63,0.957,782,0.891961111111111
63,0.952,323,0.8733611111111111
63,0.533,511,0.8382611111111112
63,0.509,517,0.8586611111111111
63,0.484,717,0.8544611111111111
63,0.474,885,0.8512611111111111
