dataset,groundtruth_according_accuracy,model,according_accuracy
1,0.949,596,0.902
1,0.947,708,0.902
1,0.946,795,0.902
1,0.925,597,0.902
1,0.914,950,0.902
1,0.905,841,0.902
1,0.901,641,0.902
1,0.883,868,0.902
1,0.851,772,0.902
1,0.508,527,0.902
1,0.501,318,0.902
3,0.946,319,0.84125
3,0.922,177,0.84125
3,0.91,178,0.84125
3,0.886,675,0.84125
3,0.87,791,0.84125
3,0.807,277,0.84125
3,0.778,456,0.84125
3,0.502,978,0.84125
3,0.498,368,0.84125
3,0.497,857,0.84125
23,0.871,533,0.902
23,0.834,872,0.902
23,0.831,469,0.902
23,0.782,850,0.902
23,0.779,985,0.902
23,0.777,995,0.902
23,0.754,921,0.902
23,0.724,997,0.902
23,0.67,197,0.902
23,0.071,600,0.902
63,0.954,319,0.641448275862069
63,0.974,784,0.987
63,0.96,780,0.973
63,0.959,783,0.96
63,0.957,782,0.967
63,0.952,323,0.781
63,0.533,511,0.43
63,0.509,517,0.634
63,0.484,717,0.592
63,0.474,885,0.56
