groundtruth_according_accuracy,according_accuracy,dataset,model
0.949,0.0,1,596
0.947,0.0,1,708
0.946,0.0,1,795
0.925,0.0,1,597
0.914,0.0,1,950
0.905,0.0,1,841
0.901,0.0,1,641
0.883,0.0,1,868
0.851,0.0,1,772
0.508,0.0,1,527
0.501,0.0,1,318
0.946,0.0,3,319
0.922,0.0,3,177
0.91,0.0,3,178
0.886,0.0,3,675
0.87,0.0,3,791
0.807,0.0,3,277
0.778,0.0,3,456
0.502,0.0,3,978
0.498,0.0,3,368
0.497,0.0,3,857
0.871,0.0,23,533
0.834,0.0,23,872
0.831,0.0,23,469
0.782,0.0,23,850
0.779,0.0,23,985
0.777,0.0,23,995
0.754,0.0,23,921
0.724,0.0,23,997
0.67,0.0,23,197
0.071,0.0,23,600
0.954,0.0,63,319
0.974,0.9870000000000001,63,784
0.96,0.973,63,780
0.959,0.96,63,783
0.957,0.967,63,782
0.952,0.781,63,323
0.533,0.43,63,511
0.509,0.634,63,517
0.484,0.592,63,717
0.474,0.56,63,885
