groundtruth_according_accuracy,according_accuracy,dataset,model
0.949,0.02044115991048916,1,596
0.947,0.02044115991048916,1,708
0.946,0.02044115991048916,1,795
0.925,0.02044115991048916,1,597
0.914,0.11293319578406465,1,950
0.905,0.02044115991048916,1,841
0.901,0.02044115991048916,1,641
0.883,0.02044115991048916,1,868
0.851,0.10244115991048916,1,772
0.508,0.11216929073609024,1,527
0.501,0.02044115991048916,1,318
0.946,0.020315034050955784,3,319
0.922,0.020315034050955784,3,177
0.91,0.020315034050955784,3,178
0.886,0.07451503405095579,3,675
0.87,0.020315034050955784,3,791
0.807,0.020315034050955784,3,277
0.778,0.18679832300739235,3,456
0.502,0.020315034050955784,3,978
0.498,0.12940398863018832,3,368
0.497,0.19116744188731793,3,857
0.871,0.02044115991048916,23,533
0.834,0.02044115991048916,23,872
0.831,0.02044115991048916,23,469
0.782,0.02044115991048916,23,850
0.779,0.02044115991048916,23,985
0.777,0.02044115991048916,23,995
0.754,0.02044115991048916,23,921
0.724,0.02044115991048916,23,997
0.67,0.02044115991048916,23,197
0.071,0.02044115991048916,23,600
0.954,0.02044115991048917,63,319
0.974,0.1191411599104892,63,784
0.96,0.11774115991048917,63,780
0.959,0.11644115991048917,63,783
0.957,0.11714115991048916,63,782
0.952,0.09854115991048917,63,323
0.533,0.06344115991048918,63,511
0.509,0.08384115991048917,63,517
0.484,0.07964115991048917,63,717
0.474,0.07644115991048918,63,885
