groundtruth_according_accuracy,according_accuracy,dataset,model
0.949,0.013543356033970515,1,596
0.947,0.013543356033970515,1,708
0.946,0.013543356033970515,1,795
0.925,0.013543356033970515,1,597
0.914,0.13697758426895865,1,950
0.905,0.013543356033970515,1,841
0.901,0.013543356033970515,1,641
0.883,0.05921002270063718,1,868
0.851,0.06821002270063718,1,772
0.508,0.13595812319697603,1,527
0.501,0.013543356033970515,1,318
0.946,0.013543356033970522,3,319
0.922,0.013543356033970522,3,177
0.91,0.013543356033970522,3,178
0.886,0.04967668936730386,3,675
0.87,0.05267668936730385,3,791
0.807,0.013543356033970522,3,277
0.778,0.12453221533826157,3,456
0.502,0.027210022700637184,3,978
0.498,0.08626932575345887,3,368
0.497,0.12744496125821195,3,857
0.871,0.013843256102900596,23,533
0.834,0.06639207489839632,23,872
0.831,0.013843256102900596,23,469
0.782,0.013843256102900596,23,850
0.779,0.013843256102900596,23,985
0.777,0.013843256102900596,23,995
0.754,0.013843256102900596,23,921
0.724,0.013843256102900596,23,997
0.67,0.013843256102900596,23,197
0.071,0.013843256102900596,23,600
0.954,0.01258631839754541,63,319
0.974,0.07838631839754544,63,784
0.96,0.07745298506421208,63,780
0.959,0.07658631839754543,63,783
0.957,0.07705298506421207,63,782
0.952,0.06465298506421208,63,323
0.533,0.04125298506421208,63,511
0.509,0.05485298506421208,63,517
0.484,0.052052985064212076,63,717
0.474,0.04991965173087875,63,885
