f1_score,groundtruth_f1_score,dataset,model
0.3546127515788264,0.3,93,463
0.34989207877510464,0.3,93,465
0.5723301614336995,0.909090909,93,363
0.519092985816813,0.303030303,93,367
0.5069536695840225,0.303030303,93,369
0.5424868565825369,0.666666667,93,415
0.39846987174820264,0.5,93,323
0.6794760588888628,0.384615385,93,371
0.6134994925661308,0.37037037,93,399
0.5949182978363623,0.37037037,93,401
0.5400811378043677,0.909090909,93,411
0.48326934504545715,0.631578947,93,327
0.574824992233843,0.666666667,93,389
0.39470201195719884,0.5,93,325
0.6164145365732654,0.666666667,93,477
0.5585655107127776,0.909090909,93,365
0.6577902139781564,0.384615385,93,373
0.32017801860536965,0.342857143,93,319
0.31804271955274177,0.352941176,93,321
0.49251938612077983,0.625,93,351
0.4832120139567766,0.625,93,353
0.521916350634849,0.666666667,93,417
0.3997687606034189,0.454545455,93,431
0.3924817584257866,0.454545455,93,433
0.6913330790076972,0.666666667,93,453
0.7547130018547145,0.428571429,93,485
0.4794130603880187,0.909090909,93,379
0.394583909768213,0.4,93,308
0.388362859410611,0.413793103,93,310
0.47758679667602716,0.631578947,93,329
0.63486808307561,0.714285714,93,423
0.6179426889378039,0.714285714,93,425
0.5312078667106053,0.909090909,93,413
0.7269062973549764,0.625,93,345
0.2743344294954299,0.444444444,93,290
0.45129419676225935,0.769230769,93,291
0.2853132849442905,0.5,93,292
0.4424187448680258,0.833333333,93,293
0.2852478540845526,0.5,93,294
0.44035503188403113,0.833333333,93,295
0.28502481095704135,0.5,93,296
0.44073213082461454,0.833333333,93,297
0.285024849770284,0.5,93,298
0.41583346791256587,0.545454545,93,299
0.4107138247327236,0.545454545,93,301
0.4296931205638046,0.666666667,93,320
0.4281480872426145,0.666666667,93,322
0.5027199451494017,0.666666667,93,324
0.49666690378774553,0.666666667,93,326
0.5228992781482977,0.705882353,93,328
0.5163574317975189,0.705882353,93,330
0.521585293174647,0.909090909,93,347
0.5247005437462111,0.909090909,93,348
0.5128193686570135,0.909090909,93,349
0.514956765617361,0.909090909,93,350
0.5194247128304622,0.714285714,93,352
0.5123854755508771,0.714285714,93,354
0.5259258094602612,0.625,93,355
0.5358308941037665,0.714285714,93,356
0.5199493280550499,0.625,93,357
0.5311464372225501,0.714285714,93,358
0.5064962200999765,0.666666667,93,375
0.5159625812158753,0.714285714,93,376
0.498776898207762,0.666666667,93,377
0.5071066606135866,0.714285714,93,378
0.4688963180640443,0.909090909,93,380
0.47088987202399507,0.909090909,93,381
0.45965335867535695,0.909090909,93,382
0.4297037310033649,0.666666667,93,383
0.4890998802979099,0.769230769,93,384
