f1_score,groundtruth_f1_score,dataset,model
0.3118978831834611,0.3,93,463
0.30717755060525914,0.3,93,465
0.5296076775065361,0.909090909,93,363
0.476391227350178,0.303030303,93,367
0.46425178395812466,0.303030303,93,369
0.4997675784344378,0.666666667,93,415
0.35575150603911565,0.5,93,323
0.6367800216513045,0.384615385,93,371
0.5708063026237338,0.37037037,93,399
0.5522244945650767,0.37037037,93,401
0.4973581633493945,0.909090909,93,411
0.44054786077913377,0.631578947,93,327
0.5321142028646048,0.666666667,93,389
0.351983912233385,0.5,93,325
0.5736971178273336,0.666666667,93,477
0.5158430677527238,0.909090909,93,365
0.6150936151541632,0.384615385,93,373
0.2774646342682257,0.342857143,93,319
0.27532946770190503,0.352941176,93,321
0.44979725621798017,0.625,93,351
0.44049038716336136,0.625,93,353
0.4791971117744101,0.666666667,93,417
0.3570528233025223,0.454545455,93,431
0.3497662213802677,0.454545455,93,433
0.6486259478347594,0.666666667,93,453
0.7120113741840743,0.428571429,93,485
0.43669157755456733,0.909090909,93,379
0.3518707675673017,0.4,93,308
0.3456497281509514,0.413793103,93,310
0.4348656389632665,0.631578947,93,329
0.5921604685955888,0.714285714,93,423
0.5752348513799775,0.714285714,93,425
0.48848533366452634,0.909090909,93,413
0.6842023815978242,0.625,93,345
0.2316239258004083,0.444444444,93,290
0.4085747371085832,0.769230769,93,291
0.24260227084245584,0.5,93,292
0.3996996743899915,0.833333333,93,293
0.2425368358742056,0.5,93,294
0.397636053639398,0.833333333,93,295
0.24231377978802038,0.5,93,296
0.3980131280139011,0.833333333,93,297
0.24231381860351808,0.5,93,298
0.37311567343458407,0.545454545,93,299
0.3679965595012361,0.545454545,93,301
0.3869737881000592,0.666666667,93,320
0.38542894888691137,0.666666667,93,322
0.4599984907491202,0.666666667,93,324
0.4539457755992597,0.666666667,93,326
0.48017696223511014,0.705882353,93,328
0.47363546333753864,0.705882353,93,330
0.4788590511238714,0.909090909,93,347
0.48197679680911326,0.909090909,93,348
0.47009359003449486,0.909090909,93,349
0.47223350851945,0.909090909,93,350
0.4767020906507663,0.714285714,93,352
0.4696632305777975,0.714285714,93,354
0.48320389625722093,0.625,93,355
0.4931085492677781,0.714285714,93,356
0.47722771756130367,0.625,93,357
0.48842436383498733,0.714285714,93,358
0.4637749281897505,0.666666667,93,375
0.47324120761231897,0.714285714,93,376
0.45605593492109076,0.666666667,93,377
0.4643856578999679,0.714285714,93,378
0.42617558359054963,0.909090909,93,380
0.42816881772991455,0.909090909,93,381
0.4169330788416753,0.909090909,93,382
0.3869843741648654,0.666666667,93,383
0.44637879070567055,0.769230769,93,384
