model,f1_score,groundtruth_f1_score,dataset
463,0.35534819626353276,0.3,93
465,0.35051595886196524,0.3,93
363,0.5202483578302788,0.909090909,93
367,0.5595270487985284,0.303030303,93
369,0.5471029514609042,0.303030303,93
415,0.5124619397467819,0.666666667,93
323,0.3953076357737003,0.5,93
371,0.752835747752501,0.384615385,93
399,0.6885943480285744,0.37037037,93
401,0.6680321840792056,0.37037037,93
411,0.48866695574391017,0.909090909,93
327,0.4589369263502869,0.631578947,93
389,0.5902178540430005,0.666666667,93
325,0.39180620182609804,0.5,93
477,0.5856446712415286,0.666666667,93
365,0.5074199052559775,0.909090909,93
373,0.7310753627938066,0.384615385,93
319,0.319935857351608,0.342857143,93
321,0.3182268438412845,0.352941176,93
351,0.46480349855692893,0.625,93
353,0.45771234012071105,0.625,93
417,0.4937427453077078,0.666666667,93
431,0.3896721922663288,0.454545455,93
433,0.38387590192439547,0.454545455,93
453,0.7118493469917564,0.666666667,93
485,0.7945143868655717,0.428571429,93
379,0.43787070324953226,0.909090909,93
308,0.42941600049535467,0.4,93
310,0.42211464833960977,0.413793103,93
329,0.45385710134056023,0.631578947,93
423,0.6585590309541764,0.714285714,93
425,0.6414702334120888,0.714285714,93
413,0.48224777863408946,0.909090909,93
345,0.736110030983434,0.625,93
290,0.287359787198515,0.444444444,93
291,0.4236225952407133,0.769230769,93
292,0.2957609945353921,0.5,93
293,0.4180212321563503,0.833333333,93
294,0.29569443145080404,0.5,93
295,0.4167513855038991,0.833333333,93
296,0.2956240399445146,0.5,93
297,0.4170463726620895,0.833333333,93
298,0.2956240521938165,0.5,93
299,0.3998796066716251,0.545454545,93
301,0.3923088721796019,0.545454545,93
320,0.4104968097615222,0.666666667,93
322,0.4080975384512156,0.666666667,93
324,0.4720345269953655,0.666666667,93
326,0.46688659674341143,0.666666667,93
328,0.4859082147780168,0.705882353,93
330,0.48043558276040754,0.705882353,93
347,0.4349174056728969,0.909090909,93
348,0.4829166506356023,0.909090909,93
349,0.42852105081813097,0.909090909,93
350,0.47572610425721396,0.909090909,93
352,0.48735488717303993,0.714285714,93
354,0.4818075659424981,0.714285714,93
355,0.48734053782012754,0.625,93
356,0.49559718246800016,0.714285714,93
357,0.4820759101362205,0.625,93
358,0.491004833925967,0.714285714,93
375,0.4749104679143912,0.666666667,93
376,0.48185931084378986,0.714285714,93
377,0.4693484059056539,0.666666667,93
378,0.47562537025625096,0.714285714,93
380,0.4336606469326452,0.909090909,93
381,0.4319074274914619,0.909090909,93
382,0.4273045401167731,0.909090909,93
383,0.4114481634444668,0.666666667,93
384,0.4594043886654717,0.769230769,93
385,0.4034274184535448,0.666666667,93
386,0.4513461469294892,0.769230769,93
403,0.3883005184827958,0.476190476,93
404,0.44516432689103286,0.666666667,93
405,0.38476256858729707,0.476190476,93
406,0.44122990921511407,0.666666667,93
407,0.450100824056997,0.666666667,93
408,0.4647338410156511,0.714285714,93
409,0.4446285479525406,0.666666667,93
410,0.4590330699375052,0.714285714,93
412,0.4874816901448642,0.909090909,93
414,0.4804251657561952,0.909090909,93
432,0.4433765774918239,0.714285714,93
434,0.43842321534655354,0.714285714,93
435,0.4310208330661752,0.526315789,93
436,0.4653688260791699,0.714285714,93
437,0.42584794861552433,0.526315789,93
438,0.46038044814784806,0.714285714,93
439,0.4021653074976353,0.666666667,93
440,0.4060611762226409,0.714285714,93
441,0.39969168692018053,0.666666667,93
442,0.40296203504404826,0.714285714,93
459,0.4376980079193903,0.909090909,93
460,0.4300630750437774,0.909090909,93
461,0.4322210753533794,0.909090909,93
462,0.42430966660392294,0.909090909,93
464,0.4252521155861654,0.5,93
466,0.4211530695951529,0.5,93
467,0.3805800957952787,0.352941176,93
468,0.4349961267781465,0.5,93
469,0.3761402936961663,0.352941176,93
470,0.43046625007383754,0.5,93
487,0.4516393992300761,0.5,93
488,0.4576509797926608,0.545454545,93
489,0.4476239731452526,0.5,93
490,0.4522820882784157,0.545454545,93
491,0.4760694554167403,0.666666667,93
492,0.4714318944196796,0.666666667,93
493,0.4707134006914173,0.666666667,93
494,0.46485393360790817,0.666666667,93
495,0.4202775276891015,0.333333333,93
496,0.4545567403363118,0.461538462,93
497,0.4139858767547433,0.333333333,93
498,0.4486161172590208,0.461538462,93
515,0.476618484095716,0.461538462,93
516,0.4742421165585976,0.5,93
517,0.4697863374314616,0.461538462,93
518,0.4677196942854976,0.5,93
519,0.40205293305677736,0.461538462,93
520,0.4021488175866025,0.5,93
521,0.3989103800893802,0.461538462,93
522,0.3985873241486031,0.5,93
523,0.4736507363023895,0.666666667,93
524,0.47035928363382384,0.666666667,93
525,0.4681267535956578,0.666666667,93
526,0.464866361990593,0.666666667,93
289,0.3575841598327353,0.6,93
338,0.632951315593521,0.526315789,93
374,0.7777992002529457,0.588235294,93
391,0.658731024207644,0.714285714,93
392,0.7695906877870499,0.769230769,93
427,0.82310274148526,0.909090909,93
428,0.8340966985498556,0.909090909,93
445,0.6776090939909345,0.909090909,93
446,0.7714808157210948,0.909090909,93
481,0.6245560324817454,0.428571429,93
482,0.6771038702193239,0.545454545,93
499,0.6000436723801759,0.352941176,93
500,0.7085527993327041,0.461538462,93
340,0.6842561777129715,0.555555556,93
342,0.6691029745490221,0.555555556,93
359,0.40317016158252617,0.666666667,93
360,0.5758307690309501,0.714285714,93
361,0.392177784682125,0.666666667,93
362,0.5630222559557108,0.714285714,93
387,0.6126344411525546,0.666666667,93
400,0.741440152990352,0.625,93
402,0.7199388739327056,0.625,93
419,0.4672601601326519,0.666666667,93
420,0.620261491534644,0.769230769,93
421,0.4536367037865682,0.666666667,93
422,0.6031495285943085,0.769230769,93
479,0.6426308097122092,0.428571429,93
480,0.695952773478119,0.545454545,93
501,0.5764194917198251,0.352941176,93
502,0.6890807936085316,0.461538462,93
336,0.6477451185938892,0.526315789,93
447,0.6829781019945523,0.666666667,93
429,0.800290742077145,0.909090909,93
449,0.6605067127532446,0.666666667,93
471,0.5296289670313524,0.461538462,93
473,0.5119107609534097,0.461538462,93
311,0.6415499383686554,0.6,93
313,0.6274761929289613,0.6,93
393,0.6418567500292511,0.714285714,93
475,0.6029962129674857,0.666666667,93
343,0.7584573043815804,0.625,93
