groundtruth_balanced_accuracy,balanced_accuracy,dataset,model
0.672733762,0.16881195536479957,1,97
0.748037116,0.17462103527851466,1,98
0.755531763,0.18245748723160854,1,99
0.995360457,0.22863215435715042,1,100
0.994289793,0.22153624436131053,1,101
0.98965025,0.2232509186855481,1,102
0.996074233,0.2314248931139751,1,103
0.998572448,0.23083520483559125,1,104
0.996788009,0.23124888051554768,1,105
0.995003569,0.23035928110653675,1,106
0.995003569,0.2304267424115468,1,107
0.564239829,0.14201171617486877,1,108
0.584939329,0.1413926897933771,1,109
0.756245539,0.17481566484679473,1,110
0.727337616,0.17681064940979593,1,111
0.593147752,0.14400866463605633,1,112
0.992862241,0.2198200118456298,1,113
0.559957173,0.14244250832158417,1,114
0.987508922,0.2212182818056521,1,115
0.575660243,0.1368275502650392,1,116
0.982869379,0.2237705448745145,1,117
0.578158458,0.15453294534370446,1,118
0.975374732,0.22586203386178522,1,119
0.980728051,0.22352259093304203,1,120
0.584582441,0.14866235143440643,1,121
0.499286224,0.13483690546946922,1,247
0.5,0.1348488560502069,1,248
0.499643112,0.13483631453376535,1,249
0.41184868,0.12036865180033679,1,250
0.514989293,0.14554209528647385,1,251
0.44468237,0.12057298896764918,1,252
0.447537473,0.12805645306865063,1,253
0.553890079,0.1448905309000062,1,254
0.546395432,0.138713191419155,1,255
0.526766595,0.14191868600559204,1,256
0.44111349,0.12505075236765797,1,257
0.5,0.1348488560502069,1,258
0.5,0.1348488560502069,1,259
0.5,0.1348488560502069,1,260
0.5,0.1348488560502069,1,261
0.500713776,0.13490597464456114,1,262
0.5,0.1348488560502069,1,263
0.5,0.1348488560502069,1,264
0.499643112,0.13484964494749543,1,265
0.504282655,0.13527001336866862,1,266
0.500713776,0.13501602819477176,1,267
0.493219129,0.1328523699074817,1,268
0.151677373,0.06707965943987633,1,269
0.066738044,0.05031906864584455,1,270
0.5,0.1348488560502069,1,271
0.506067095,0.13700544855517144,1,297
0.502855103,0.1389408332738827,1,298
0.502141328,0.13858441557441853,1,299
0.504639543,0.13107072523541158,1,300
0.517844397,0.15002990491062648,1,301
0.520342612,0.13819918481525292,1,302
0.461099215,0.11463156542765818,1,303
0.575303355,0.15119012828547929,1,304
0.620985011,0.14645029012559438,1,305
0.387937188,0.12682632618368223,1,306
0.428265525,0.10710397903445625,1,307
0.5,0.1348488560502069,1,308
0.454675232,0.1275947826145253,1,309
0.480014276,0.13312807452385023,1,310
0.501427552,0.13542654774014162,1,311
0.509279086,0.13448396301999013,1,312
0.5,0.13455682125121415,1,313
0.57958601,0.13676953823000532,1,314
0.413276231,0.11636537722802164,1,315
0.5,0.1348488560502069,1,316
0.5,0.13467974774110353,1,317
0.529978587,0.14064872101688683,1,318
0.453961456,0.13926121109741288,1,319
0.429693076,0.11847780552151083,1,320
0.510706638,0.13655837529221684,1,321
0.799428979,0.19488628322876958,1,372
0.762312634,0.17853520305090845,1,373
0.807280514,0.1936958833524698,1,374
0.996074233,0.2202080698737696,1,375
0.996788009,0.22062753731852444,1,376
0.990720914,0.23087526744209905,1,377
0.99821556,0.23350824440546047,1,378
0.998929336,0.23006844282619818,1,379
0.996431121,0.2319822787387208,1,380
0.994646681,0.23023267047095197,1,381
0.997144897,0.230262765515981,1,382
0.536759458,0.14246532844800078,1,383
0.658815132,0.15310502447665136,1,384
0.813704497,0.19062555244074617,1,385
0.76302641,0.18513423160601722,1,386
0.625624554,0.14956985267600104,1,387
0.974304069,0.22343303638067366,1,388
0.630264097,0.1525269236327752,1,389
0.992148465,0.22006429959049287,1,390
0.606709493,0.15291866816204872,1,391
0.991791577,0.2217647623899169,1,392
0.606352605,0.1520447863836009,1,393
0.990007138,0.21796953993290827,1,394
0.989293362,0.2216947192131457,1,395
0.706995004,0.16069763203255005,1,396
0.5,0.13481989980038422,1,422
0.518915061,0.14295880646851347,1,423
0.563169165,0.1554721520608968,1,424
0.284796574,0.09330828995208924,1,425
0.459314775,0.12301730800695138,1,426
0.518558173,0.13668940954120842,1,427
0.507137759,0.13500993195801725,1,428
0.574232691,0.1509945339056134,1,429
0.513204854,0.14499795383832678,1,430
0.476445396,0.12936139479864106,1,431
0.349036403,0.11108395031758149,1,432
0.5,0.1348488560502069,1,433
0.526052819,0.13565098150114888,1,434
0.517130621,0.13192633534636847,1,435
0.528194147,0.14428470110607838,1,436
0.502141328,0.1449587731043662,1,437
0.525695931,0.12328942462454172,1,438
0.5,0.1348488560502069,1,439
0.267309065,0.1006809195919467,1,440
0.5,0.1348488560502069,1,441
0.5,0.13477385785283771,1,442
0.528551035,0.14239593869935527,1,443
0.895788722,0.2119033377271016,1,444
0.937901499,0.2199457602287178,1,445
0.520342612,0.13963750534658786,1,446
0.481798715,0.14570322724812876,1,1022
0.48786581,0.1425160493948974,1,1023
0.452177016,0.1370190726646879,1,1024
0.394361171,0.12634701162194403,1,1025
0.414346895,0.1321668624377786,1,1026
0.431120628,0.13733462550214423,1,1027
0.307637402,0.11061137830230029,1,1028
0.374018558,0.12666885048044352,1,1029
0.653818701,0.1822213956738478,1,1030
0.501070664,0.15080954111672554,1,1031
0.459671663,0.14580981854387126,1,1032
0.5,0.1348488560502069,1,1033
0.444325482,0.1358026921258672,1,1034
0.483940043,0.14756519316677041,1,1035
0.513204854,0.14989711777497214,1,1036
0.427551749,0.13482017193706103,1,1037
0.461099215,0.14691231115794923,1,1038
0.41862955,0.13562956494372325,1,1039
0.488579586,0.14753275167282806,1,1040
0.467880086,0.14022634916263158,1,1041
0.496431121,0.14974374789202652,1,1042
0.438972163,0.13276946916856203,1,1043
0.484296931,0.14796591484363797,1,1044
0.46538187,0.14473915103582,1,1045
0.44111349,0.13657509218589667,1,1046
0.500356888,0.13488793481234554,1,1347
0.500713776,0.13559517809472046,1,1348
0.578515346,0.15505342664353952,1,1349
0.488222698,0.12697463665581016,1,1350
0.417915774,0.11988276206825252,1,1351
