groundtruth_balanced_accuracy,balanced_accuracy,dataset,model
0.672733762,0.16851351998281688,1,97
0.748037116,0.1749284547803187,1,98
0.755531763,0.1822240791812075,1,99
0.995360457,0.229697714245121,1,100
0.994289793,0.2230305574328689,1,101
0.98965025,0.22444530423826278,1,102
0.996074233,0.23238430829428283,1,103
0.998572448,0.23178976340955953,1,104
0.996788009,0.23221065222697568,1,105
0.995003569,0.2313136969996013,1,106
0.995003569,0.23138275909284842,1,107
0.564239829,0.14194257338137267,1,108
0.584939329,0.14143437543942722,1,109
0.756245539,0.1751895978076332,1,110
0.727337616,0.17692934892998344,1,111
0.593147752,0.14387924080572437,1,112
0.992862241,0.22126244382394009,1,113
0.559957173,0.14230422453011152,1,114
0.987508922,0.2224400347029508,1,115
0.575660243,0.13740751548642713,1,116
0.982869379,0.2248768350281507,1,117
0.578158458,0.1539796764958768,1,118
0.975374732,0.22667281048268356,1,119
0.980728051,0.2243900475655467,1,120
0.584582441,0.14845551083901273,1,121
0.499286224,0.1342610529581438,1,247
0.5,0.13427167347999133,1,248
0.499643112,0.13425892260512498,1,249
0.41184868,0.1192344851427074,1,250
0.514989293,0.1444795684669603,1,251
0.44468237,0.12013810611422879,1,252
0.447537473,0.12718575849118727,1,253
0.553890079,0.14430326663738188,1,254
0.546395432,0.1386475246986933,1,255
0.526766595,0.14144100055497835,1,256
0.44111349,0.12428487279133768,1,257
0.5,0.13427167347999133,1,258
0.5,0.13427167347999133,1,259
0.5,0.13427167347999133,1,260
0.5,0.13427167347999133,1,261
0.500713776,0.1343269909005943,1,262
0.5,0.13427167347999133,1,263
0.5,0.13427167347999133,1,264
0.499643112,0.13427413193441334,1,265
0.504282655,0.13481244964059194,1,266
0.500713776,0.13444112656452958,1,267
0.493219129,0.13227685767604094,1,268
0.151677373,0.06542335141978936,1,269
0.066738044,0.04846006207520137,1,270
0.5,0.13427167347999133,1,271
0.506067095,0.1363754165188529,1,297
0.502855103,0.1383971917854079,1,298
0.502141328,0.1378500562074763,1,299
0.504639543,0.13070293429216065,1,300
0.517844397,0.1489050461313384,1,301
0.520342612,0.13739360387490596,1,302
0.461099215,0.1145959232305396,1,303
0.575303355,0.15097124140726154,1,304
0.620985011,0.14713821365500437,1,305
0.387937188,0.12523831864097304,1,306
0.428265525,0.10707594282846188,1,307
0.5,0.13427167347999133,1,308
0.454675232,0.12662102296426703,1,309
0.480014276,0.1322995476616125,1,310
0.501427552,0.13483442133049628,1,311
0.509279086,0.134133650932866,1,312
0.5,0.13397560494016597,1,313
0.57958601,0.1372766980066548,1,314
0.413276231,0.11531641722169418,1,315
0.5,0.13427167347999133,1,316
0.5,0.13410072075788365,1,317
0.529978587,0.14019317246680002,1,318
0.453961456,0.13763837465393333,1,319
0.429693076,0.1177278524458471,1,320
0.510706638,0.1360076801879309,1,321
0.799428979,0.1948746710578106,1,372
0.762312634,0.178963584030057,1,373
0.807280514,0.19374832566465158,1,374
0.996074233,0.22176148062005724,1,375
0.996788009,0.2221498504743555,1,376
0.990720914,0.23170096679647442,1,377
0.99821556,0.23446763244031324,1,378
0.998929336,0.23113949770211015,1,379
0.996431121,0.23296288317226946,1,380
0.994646681,0.23118872516760489,1,381
0.997144897,0.23123091029551646,1,382
0.536759458,0.14196875577302095,1,383
0.658815132,0.15356008973267532,1,384
0.813704497,0.19101549999864573,1,385
0.76302641,0.18543311952818756,1,386
0.625624554,0.14988169388312086,1,387
0.974304069,0.2244373360981017,1,388
0.630264097,0.1528540701973845,1,389
0.992148465,0.22146686870117513,1,390
0.606709493,0.1527807113451417,1,391
0.991791577,0.2229517206908799,1,392
0.606352605,0.15185277468348007,1,393
0.990007138,0.21924203439795598,1,394
0.989293362,0.22277924389161932,1,395
0.706995004,0.16119944046447657,1,396
0.5,0.13424268629083017,1,422
0.518915061,0.14255259435816398,1,423
0.563169165,0.15428404923182062,1,424
0.284796574,0.09230212999356313,1,425
0.459314775,0.12261983879103054,1,426
0.518558173,0.1361689763115353,1,427
0.507137759,0.13445453474598945,1,428
0.574232691,0.15055141867595345,1,429
0.513204854,0.14413581191907773,1,430
0.476445396,0.1287591050533501,1,431
0.349036403,0.10962377879214787,1,432
0.5,0.13427167347999133,1,433
0.526052819,0.13542531770266616,1,434
0.517130621,0.13162885446592723,1,435
0.528194147,0.14356730347287824,1,436
0.502141328,0.14415069677964876,1,437
0.525695931,0.1234621231437829,1,438
0.5,0.13427167347999133,1,439
0.267309065,0.09862452452358751,1,440
0.5,0.13427167347999133,1,441
0.5,0.1341898270540953,1,442
0.528551035,0.14194247620242226,1,443
0.895788722,0.2124504144373243,1,444
0.937901499,0.2206914009640388,1,445
0.520342612,0.13924561013345413,1,446
0.481798715,0.14412845486956308,1,1022
0.48786581,0.14084877725132194,1,1023
0.452177016,0.13531427547660765,1,1024
0.394361171,0.12470261054068918,1,1025
0.414346895,0.1305590005244342,1,1026
0.431120628,0.13555196436832356,1,1027
0.307637402,0.10866369884532186,1,1028
0.374018558,0.12497350077543465,1,1029
0.653818701,0.18118013076118059,1,1030
0.501070664,0.14940837411274685,1,1031
0.459671663,0.1441451428533209,1,1032
0.5,0.13427167347999133,1,1033
0.444325482,0.13402417193888963,1,1034
0.483940043,0.14599920730241375,1,1035
0.513204854,0.1483879239018723,1,1036
0.427551749,0.13317420590179807,1,1037
0.461099215,0.14526093646909402,1,1038
0.41862955,0.1338292939539773,1,1039
0.488579586,0.1461413298267651,1,1040
0.467880086,0.138642565224282,1,1041
0.496431121,0.14826493634511362,1,1042
0.438972163,0.13117075485502866,1,1043
0.484296931,0.1462979766279839,1,1044
0.46538187,0.14297629887572746,1,1045
0.44111349,0.13488678053198472,1,1046
0.500356888,0.13431135794676147,1,1347
0.500713776,0.13502939558403812,1,1348
0.578515346,0.15411706432360273,1,1349
0.488222698,0.12661167562639702,1,1350
0.417915774,0.11901693237769129,1,1351
0.503568879,0.13440688422378788,1,1352
0.429693076,0.11960018878670804,1,1353
0.56923626,0.15097505363390842,1,1354
0.45503212,0.128458298439513,1,1355
0.502498216,0.13564104843915412,1,1356
0.526766595,0.13338160462197532,1,1357
0.5,0.13427167347999133,1,1358
0.500713776,0.1343151816718517,1,1359
0.529978587,0.1329859561328494,1,1360
